,img,name,price,emi,kms_driven,fuel_type,actual_pr
99,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DUBFLSC_566ca8a8128c42128cb637c82a9aac65_1_26859458.jpeg?q=75,2021 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],"₹6,11,000","EMI starts at ₹10,146","28,514 KMs",CNG,
100,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/WE499CR_856bb46b4b07487fb2bff740bed39159_1_25981368.jpg?q=75,2017 Hyundai Grand i10 Era 1.2 Kappa VTVT,"₹4,40,000","EMI starts at ₹7,306","23,000 KMs",Petrol,
101,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/B1LA8OH_3ea0dd85b4eb444293898229da810b46_1_26484776.jpg?q=75,2017 Tata Tiago Revotron XZA [2017-2019],"₹4,75,000","EMI starts at ₹7,888","34,867 KMs",Petrol,
102,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/L94INJG_84ebd25cbcd542e6af67580a320d4936_1_26667624.jpg?q=75,2017 Honda City V CVT Petrol [2017-2019],"₹8,45,000","EMI starts at ₹14,032","49,013 KMs",Petrol,₹ 8.65 Lakh
103,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/XTOE0YU_dd715f94a42248fa9d340d69666dcb39_1_26767135.jpg?q=75,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,65,000","EMI starts at ₹14,364","57,983 KMs",Petrol,₹ 8.85 Lakh
104,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/APQNR63_ccffffb336f24ac288e500e08283d682_1_26070906.jpg?q=75,2014 Maruti Suzuki Ertiga Vxi CNG,"₹7,45,000","EMI starts at ₹12,371","68,921 KMs",CNG,₹ 7.65 Lakh
105,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/3I0O1NQ_d49a8aed2b2c4b95b335714b694be90f_1_26836083.jpg?q=75,2021 Honda City V,"₹10,95,000","EMI starts at ₹18,184","16,579 KMs",Petrol,₹ 11.65 Lakh
106,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/OM0H2LJ_f210f026ad064b82a31e165e995c9652_1_26704002.jpg?q=75,2020 Hyundai Venue SX 1.0 Petrol [2019-2020],"₹9,90,000","EMI starts at ₹16,440","24,013 KMs",Petrol,
107,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/38HKRS3_dc9b7a53abd1445fb33ff78b71f16566_1_26766663.jpg?q=75,2017 Honda Jazz V AT Petrol,"₹6,75,000","EMI starts at ₹11,209","48,655 KMs",Petrol,
108,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/E73FTTZ_939e7d8ca7194827974855d301504b3d_1_26159713.jpg?q=75,2017 Hyundai Elite i20 Sportz 1.2,"₹6,25,000","EMI starts at ₹10,379","32,015 KMs",Petrol,₹ 6.35 Lakh
109,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/BLKHUPB_fad8478b2daf47ca989b300a9b1e58c2_1_26435222.jpg?q=75,2020 Hyundai Santro Sportz CNG [2018-2020],"₹5,21,000","EMI starts at ₹8,652","39,622 KMs",CNG,
110,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/VH3E156_bc97bb76cda74e9aaa1c313d7866d0fc_1_26663567.jpg?q=75,2017 Hyundai Elite i20 Sportz 1.2,"₹5,91,000",,"20,281 KMs",Petrol,
111,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DJVPN0N_edf26bfeeac14c26af31b589ad540477_1_26663226.jpg?q=75,2013 Volkswagen Polo Highline1.2L (P),"₹3,85,000","EMI starts at ₹6,393","65,959 KMs",Petrol,
112,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/FW08I3Y_146e639138d64395aafe604c31c27df8_1_26459876.jpg?q=75,2020 Renault Triber RXZ EASY-R AMT,"₹7,50,000","EMI starts at ₹12,455","19,784 KMs",Petrol,
113,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/O4ISPDZ_8cb16f4a7dd74ccfb6e697a212910e38_1_26301956.jpg?q=75,2017 Maruti Suzuki Baleno Zeta 1.2 AT,"₹6,90,000","EMI starts at ₹11,458","21,769 KMs",Petrol,
114,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/R3N9EL7_48bdf02e58ae4cdc8db0c05d7f876d25_1_26300472.jpg?q=75,2018 Hyundai Creta 1.6 SX Plus AT Petrol,"₹11,25,000","EMI starts at ₹18,682","32,143 KMs",Petrol,
115,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/XIK76JM_495387088b93415fb3d4e2391f811bd4_1_26335795.jpg?q=75,2016 Maruti Suzuki Celerio VXi AMT ABS,"₹4,45,000","EMI starts at ₹7,389","24,595 KMs",Petrol,
116,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/0Q3IOAB_03274f35dcfb422e958dfdeb679f2af7_1_26448981.jpg?q=75,2018 Hyundai Creta 1.6 SX Plus AT Petrol,"₹12,75,000","EMI starts at ₹21,173","58,676 KMs",Petrol,
117,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/5JXUYSV_8fbe4933f44b469c993f875302b11607_1_26412780.jpg?q=75,2019 Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],"₹8,25,000",,"41,236 KMs",Petrol,₹ 8.51 Lakh
118,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DSNMTTG_309a08d4243a43068baab7dada8d8e42_1_26824074.jpg?q=75,2020 Renault Kwid 1.0 RXT AMT Opt,"₹5,45,000",,"32,320 KMs",Petrol,
119,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/3821OKD_6179c970560f44cb91033a157b64e245_1_26825642.jpg?q=75,2021 Renault Triber RXZ [2019-2020],"₹7,65,000","EMI starts at ₹12,704","19,669 KMs",Petrol,
120,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/4N21XA3_aa415c2ad20c46aea54cbfc6726151ee_1_26943230.jpg?q=75,2018 Ford Endeavour Titanium 3.2 4x4 AT,"₹31,50,000","EMI starts at ₹52,311","47,398 KMs",Diesel,
121,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/NFBPZWL_acd8433ea4144d329d9b01309e3740da_1_26941548.jpg?q=75,2015 Hyundai Verna 1.6 VTVT SX,"₹5,85,000","EMI starts at ₹9,714","37,019 KMs",Petrol,
122,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/W17OP74_3d17707118484fa1addb115a398fa525_1_26984086.jpg?q=75,2021 Tata Harrier XZA Plus,"₹21,75,000","EMI starts at ₹36,119","15,416 KMs",Diesel,₹ 22.75 Lakh
123,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/IZADM8V_f93da1b07c62452192552c1d3d883b7b_1_27030130.jpg?q=75,2015 Honda City VX CVT,"₹7,21,000","EMI starts at ₹11,973","48,164 KMs",Petrol,
124,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/HW2DAM3_9d4b625aa8ee4287bb3a4c60f9ce5902_1_26591387.jpg?q=75,2017 Hyundai Creta SX Plus 1.6 AT CRDI,"₹11,50,000",,"66,602 KMs",Diesel,
125,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/M40756D_5045c9a62d2a47d68b36163bc013c739_1_26774317.jpeg?q=75,2017 Honda City V Petrol [2017-2019],"₹6,45,000","EMI starts at ₹10,711","64,000 KMs",Petrol,
126,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/G3CYRAC_773d5043b6094eb480df357ac5fe3594_1_26632669.jpg?q=75,2015 Nissan Terrano XL (D),"₹5,75,000","EMI starts at ₹9,548","85,000 KMs",Diesel,
127,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/QP1BYF8_81f54c04f41248ba8d7347371a05e600_1_26774652.jpeg?q=75,2011 Maruti Suzuki Wagon R 1.0 LXi CNG,"₹2,80,000",,"54,000 KMs",CNG,
128,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/X0WHDQV_8ab2e9eed3d7465bbefe02a04457edee_1_27032572.jpeg?q=75,2014 Maruti Suzuki Estilo VXi BS-IV,"₹2,60,000",,"58,000 KMs",Petrol,
129,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/JI5RQEU_555c23a285f74037a1bd95f6d185e394_1_26919277.jpeg?q=75,2021 Honda City VX,"₹12,10,000",,"16,989 KMs",Petrol,
130,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DUBFLSC_566ca8a8128c42128cb637c82a9aac65_1_26859458.jpeg?q=75,2021 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],"₹6,11,000","EMI starts at ₹10,146","28,514 KMs",CNG,
131,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/WE499CR_856bb46b4b07487fb2bff740bed39159_1_25981368.jpg?q=75,2017 Hyundai Grand i10 Era 1.2 Kappa VTVT,"₹4,40,000","EMI starts at ₹7,306","23,000 KMs",Petrol,
132,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/B1LA8OH_3ea0dd85b4eb444293898229da810b46_1_26484776.jpg?q=75,2017 Tata Tiago Revotron XZA [2017-2019],"₹4,75,000","EMI starts at ₹7,888","34,867 KMs",Petrol,
133,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/L94INJG_84ebd25cbcd542e6af67580a320d4936_1_26667624.jpg?q=75,2017 Honda City V CVT Petrol [2017-2019],"₹8,45,000","EMI starts at ₹14,032","49,013 KMs",Petrol,₹ 8.65 Lakh
134,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/XTOE0YU_dd715f94a42248fa9d340d69666dcb39_1_26767135.jpg?q=75,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,65,000","EMI starts at ₹14,364","57,983 KMs",Petrol,₹ 8.85 Lakh
135,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/APQNR63_ccffffb336f24ac288e500e08283d682_1_26070906.jpg?q=75,2014 Maruti Suzuki Ertiga Vxi CNG,"₹7,45,000","EMI starts at ₹12,371","68,921 KMs",CNG,₹ 7.65 Lakh
136,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/3I0O1NQ_d49a8aed2b2c4b95b335714b694be90f_1_26836083.jpg?q=75,2021 Honda City V,"₹10,95,000","EMI starts at ₹18,184","16,579 KMs",Petrol,₹ 11.65 Lakh
137,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/OM0H2LJ_f210f026ad064b82a31e165e995c9652_1_26704002.jpg?q=75,2020 Hyundai Venue SX 1.0 Petrol [2019-2020],"₹9,90,000","EMI starts at ₹16,440","24,013 KMs",Petrol,
138,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/38HKRS3_dc9b7a53abd1445fb33ff78b71f16566_1_26766663.jpg?q=75,2017 Honda Jazz V AT Petrol,"₹6,75,000","EMI starts at ₹11,209","48,655 KMs",Petrol,
139,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/E73FTTZ_939e7d8ca7194827974855d301504b3d_1_26159713.jpg?q=75,2017 Hyundai Elite i20 Sportz 1.2,"₹6,25,000","EMI starts at ₹10,379","32,015 KMs",Petrol,₹ 6.35 Lakh
140,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/BLKHUPB_fad8478b2daf47ca989b300a9b1e58c2_1_26435222.jpg?q=75,2020 Hyundai Santro Sportz CNG [2018-2020],"₹5,21,000","EMI starts at ₹8,652","39,622 KMs",CNG,
141,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/VH3E156_bc97bb76cda74e9aaa1c313d7866d0fc_1_26663567.jpg?q=75,2017 Hyundai Elite i20 Sportz 1.2,"₹5,91,000",,"20,281 KMs",Petrol,
142,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DJVPN0N_edf26bfeeac14c26af31b589ad540477_1_26663226.jpg?q=75,2013 Volkswagen Polo Highline1.2L (P),"₹3,85,000","EMI starts at ₹6,393","65,959 KMs",Petrol,
143,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/FW08I3Y_146e639138d64395aafe604c31c27df8_1_26459876.jpg?q=75,2020 Renault Triber RXZ EASY-R AMT,"₹7,50,000","EMI starts at ₹12,455","19,784 KMs",Petrol,
144,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/O4ISPDZ_8cb16f4a7dd74ccfb6e697a212910e38_1_26301956.jpg?q=75,2017 Maruti Suzuki Baleno Zeta 1.2 AT,"₹6,90,000","EMI starts at ₹11,458","21,769 KMs",Petrol,
145,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/R3N9EL7_48bdf02e58ae4cdc8db0c05d7f876d25_1_26300472.jpg?q=75,2018 Hyundai Creta 1.6 SX Plus AT Petrol,"₹11,25,000","EMI starts at ₹18,682","32,143 KMs",Petrol,
146,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/XIK76JM_495387088b93415fb3d4e2391f811bd4_1_26335795.jpg?q=75,2016 Maruti Suzuki Celerio VXi AMT ABS,"₹4,45,000","EMI starts at ₹7,389","24,595 KMs",Petrol,
147,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/0Q3IOAB_03274f35dcfb422e958dfdeb679f2af7_1_26448981.jpg?q=75,2018 Hyundai Creta 1.6 SX Plus AT Petrol,"₹12,75,000","EMI starts at ₹21,173","58,676 KMs",Petrol,
148,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/5JXUYSV_8fbe4933f44b469c993f875302b11607_1_26412780.jpg?q=75,2019 Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],"₹8,25,000",,"41,236 KMs",Petrol,₹ 8.51 Lakh
149,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DSNMTTG_309a08d4243a43068baab7dada8d8e42_1_26824074.jpg?q=75,2020 Renault Kwid 1.0 RXT AMT Opt,"₹5,45,000",,"32,320 KMs",Petrol,
150,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/3821OKD_6179c970560f44cb91033a157b64e245_1_26825642.jpg?q=75,2021 Renault Triber RXZ [2019-2020],"₹7,65,000","EMI starts at ₹12,704","19,669 KMs",Petrol,
151,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/4N21XA3_aa415c2ad20c46aea54cbfc6726151ee_1_26943230.jpg?q=75,2018 Ford Endeavour Titanium 3.2 4x4 AT,"₹31,50,000","EMI starts at ₹52,311","47,398 KMs",Diesel,
152,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/NFBPZWL_acd8433ea4144d329d9b01309e3740da_1_26941548.jpg?q=75,2015 Hyundai Verna 1.6 VTVT SX,"₹5,85,000","EMI starts at ₹9,714","37,019 KMs",Petrol,
153,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/W17OP74_3d17707118484fa1addb115a398fa525_1_26984086.jpg?q=75,2021 Tata Harrier XZA Plus,"₹21,75,000","EMI starts at ₹36,119","15,416 KMs",Diesel,₹ 22.75 Lakh
154,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/IZADM8V_f93da1b07c62452192552c1d3d883b7b_1_27030130.jpg?q=75,2015 Honda City VX CVT,"₹7,21,000","EMI starts at ₹11,973","48,164 KMs",Petrol,
155,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/HW2DAM3_9d4b625aa8ee4287bb3a4c60f9ce5902_1_26591387.jpg?q=75,2017 Hyundai Creta SX Plus 1.6 AT CRDI,"₹11,50,000",,"66,602 KMs",Diesel,
156,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/M40756D_5045c9a62d2a47d68b36163bc013c739_1_26774317.jpeg?q=75,2017 Honda City V Petrol [2017-2019],"₹6,45,000","EMI starts at ₹10,711","64,000 KMs",Petrol,
157,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/G3CYRAC_773d5043b6094eb480df357ac5fe3594_1_26632669.jpg?q=75,2015 Nissan Terrano XL (D),"₹5,75,000","EMI starts at ₹9,548","85,000 KMs",Diesel,
158,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/QP1BYF8_81f54c04f41248ba8d7347371a05e600_1_26774652.jpeg?q=75,2011 Maruti Suzuki Wagon R 1.0 LXi CNG,"₹2,80,000",,"54,000 KMs",CNG,
159,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/X0WHDQV_8ab2e9eed3d7465bbefe02a04457edee_1_27032572.jpeg?q=75,2014 Maruti Suzuki Estilo VXi BS-IV,"₹2,60,000",,"58,000 KMs",Petrol,
160,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/JI5RQEU_555c23a285f74037a1bd95f6d185e394_1_26919277.jpeg?q=75,2021 Honda City VX,"₹12,10,000",,"16,989 KMs",Petrol,
161,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DUBFLSC_566ca8a8128c42128cb637c82a9aac65_1_26859458.jpeg?q=75,2021 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],"₹6,11,000","EMI starts at ₹10,146","28,514 KMs",CNG,
162,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/WE499CR_856bb46b4b07487fb2bff740bed39159_1_25981368.jpg?q=75,2017 Hyundai Grand i10 Era 1.2 Kappa VTVT,"₹4,40,000","EMI starts at ₹7,306","23,000 KMs",Petrol,
163,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/B1LA8OH_3ea0dd85b4eb444293898229da810b46_1_26484776.jpg?q=75,2017 Tata Tiago Revotron XZA [2017-2019],"₹4,75,000","EMI starts at ₹7,888","34,867 KMs",Petrol,
164,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/L94INJG_84ebd25cbcd542e6af67580a320d4936_1_26667624.jpg?q=75,2017 Honda City V CVT Petrol [2017-2019],"₹8,45,000","EMI starts at ₹14,032","49,013 KMs",Petrol,₹ 8.65 Lakh
165,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/XTOE0YU_dd715f94a42248fa9d340d69666dcb39_1_26767135.jpg?q=75,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,65,000","EMI starts at ₹14,364","57,983 KMs",Petrol,₹ 8.85 Lakh
166,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/APQNR63_ccffffb336f24ac288e500e08283d682_1_26070906.jpg?q=75,2014 Maruti Suzuki Ertiga Vxi CNG,"₹7,45,000","EMI starts at ₹12,371","68,921 KMs",CNG,₹ 7.65 Lakh
167,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/3I0O1NQ_d49a8aed2b2c4b95b335714b694be90f_1_26836083.jpg?q=75,2021 Honda City V,"₹10,95,000","EMI starts at ₹18,184","16,579 KMs",Petrol,₹ 11.65 Lakh
168,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/OM0H2LJ_f210f026ad064b82a31e165e995c9652_1_26704002.jpg?q=75,2020 Hyundai Venue SX 1.0 Petrol [2019-2020],"₹9,90,000","EMI starts at ₹16,440","24,013 KMs",Petrol,
169,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/38HKRS3_dc9b7a53abd1445fb33ff78b71f16566_1_26766663.jpg?q=75,2017 Honda Jazz V AT Petrol,"₹6,75,000","EMI starts at ₹11,209","48,655 KMs",Petrol,
170,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/E73FTTZ_939e7d8ca7194827974855d301504b3d_1_26159713.jpg?q=75,2017 Hyundai Elite i20 Sportz 1.2,"₹6,25,000","EMI starts at ₹10,379","32,015 KMs",Petrol,₹ 6.35 Lakh
171,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/BLKHUPB_fad8478b2daf47ca989b300a9b1e58c2_1_26435222.jpg?q=75,2020 Hyundai Santro Sportz CNG [2018-2020],"₹5,21,000","EMI starts at ₹8,652","39,622 KMs",CNG,
172,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/VH3E156_bc97bb76cda74e9aaa1c313d7866d0fc_1_26663567.jpg?q=75,2017 Hyundai Elite i20 Sportz 1.2,"₹5,91,000",,"20,281 KMs",Petrol,
173,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DJVPN0N_edf26bfeeac14c26af31b589ad540477_1_26663226.jpg?q=75,2013 Volkswagen Polo Highline1.2L (P),"₹3,85,000","EMI starts at ₹6,393","65,959 KMs",Petrol,
174,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/FW08I3Y_146e639138d64395aafe604c31c27df8_1_26459876.jpg?q=75,2020 Renault Triber RXZ EASY-R AMT,"₹7,50,000","EMI starts at ₹12,455","19,784 KMs",Petrol,
175,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/O4ISPDZ_8cb16f4a7dd74ccfb6e697a212910e38_1_26301956.jpg?q=75,2017 Maruti Suzuki Baleno Zeta 1.2 AT,"₹6,90,000","EMI starts at ₹11,458","21,769 KMs",Petrol,
176,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/R3N9EL7_48bdf02e58ae4cdc8db0c05d7f876d25_1_26300472.jpg?q=75,2018 Hyundai Creta 1.6 SX Plus AT Petrol,"₹11,25,000","EMI starts at ₹18,682","32,143 KMs",Petrol,
177,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/XIK76JM_495387088b93415fb3d4e2391f811bd4_1_26335795.jpg?q=75,2016 Maruti Suzuki Celerio VXi AMT ABS,"₹4,45,000","EMI starts at ₹7,389","24,595 KMs",Petrol,
178,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/0Q3IOAB_03274f35dcfb422e958dfdeb679f2af7_1_26448981.jpg?q=75,2018 Hyundai Creta 1.6 SX Plus AT Petrol,"₹12,75,000","EMI starts at ₹21,173","58,676 KMs",Petrol,
179,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/5JXUYSV_8fbe4933f44b469c993f875302b11607_1_26412780.jpg?q=75,2019 Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],"₹8,25,000",,"41,236 KMs",Petrol,₹ 8.51 Lakh
180,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DSNMTTG_309a08d4243a43068baab7dada8d8e42_1_26824074.jpg?q=75,2020 Renault Kwid 1.0 RXT AMT Opt,"₹5,45,000",,"32,320 KMs",Petrol,
181,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/3821OKD_6179c970560f44cb91033a157b64e245_1_26825642.jpg?q=75,2021 Renault Triber RXZ [2019-2020],"₹7,65,000","EMI starts at ₹12,704","19,669 KMs",Petrol,
182,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/4N21XA3_aa415c2ad20c46aea54cbfc6726151ee_1_26943230.jpg?q=75,2018 Ford Endeavour Titanium 3.2 4x4 AT,"₹31,50,000","EMI starts at ₹52,311","47,398 KMs",Diesel,
183,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/NFBPZWL_acd8433ea4144d329d9b01309e3740da_1_26941548.jpg?q=75,2015 Hyundai Verna 1.6 VTVT SX,"₹5,85,000","EMI starts at ₹9,714","37,019 KMs",Petrol,
184,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/W17OP74_3d17707118484fa1addb115a398fa525_1_26984086.jpg?q=75,2021 Tata Harrier XZA Plus,"₹21,75,000","EMI starts at ₹36,119","15,416 KMs",Diesel,₹ 22.75 Lakh
185,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/IZADM8V_f93da1b07c62452192552c1d3d883b7b_1_27030130.jpg?q=75,2015 Honda City VX CVT,"₹7,21,000","EMI starts at ₹11,973","48,164 KMs",Petrol,
186,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/HW2DAM3_9d4b625aa8ee4287bb3a4c60f9ce5902_1_26591387.jpg?q=75,2017 Hyundai Creta SX Plus 1.6 AT CRDI,"₹11,50,000",,"66,602 KMs",Diesel,
187,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/M40756D_5045c9a62d2a47d68b36163bc013c739_1_26774317.jpeg?q=75,2017 Honda City V Petrol [2017-2019],"₹6,45,000","EMI starts at ₹10,711","64,000 KMs",Petrol,
188,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/G3CYRAC_773d5043b6094eb480df357ac5fe3594_1_26632669.jpg?q=75,2015 Nissan Terrano XL (D),"₹5,75,000","EMI starts at ₹9,548","85,000 KMs",Diesel,
189,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/QP1BYF8_81f54c04f41248ba8d7347371a05e600_1_26774652.jpeg?q=75,2011 Maruti Suzuki Wagon R 1.0 LXi CNG,"₹2,80,000",,"54,000 KMs",CNG,
190,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/X0WHDQV_8ab2e9eed3d7465bbefe02a04457edee_1_27032572.jpeg?q=75,2014 Maruti Suzuki Estilo VXi BS-IV,"₹2,60,000",,"58,000 KMs",Petrol,
191,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/JI5RQEU_555c23a285f74037a1bd95f6d185e394_1_26919277.jpeg?q=75,2021 Honda City VX,"₹12,10,000",,"16,989 KMs",Petrol,
192,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/DUBFLSC_566ca8a8128c42128cb637c82a9aac65_1_26859458.jpeg?q=75,2021 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],"₹6,11,000","EMI starts at ₹10,146","28,514 KMs",CNG,
193,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/WE499CR_856bb46b4b07487fb2bff740bed39159_1_25981368.jpg?q=75,2017 Hyundai Grand i10 Era 1.2 Kappa VTVT,"₹4,40,000","EMI starts at ₹7,306","23,000 KMs",Petrol,
194,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/B1LA8OH_3ea0dd85b4eb444293898229da810b46_1_26484776.jpg?q=75,2017 Tata Tiago Revotron XZA [2017-2019],"₹4,75,000","EMI starts at ₹7,888","34,867 KMs",Petrol,
195,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/L94INJG_84ebd25cbcd542e6af67580a320d4936_1_26667624.jpg?q=75,2017 Honda City V CVT Petrol [2017-2019],"₹8,45,000","EMI starts at ₹14,032","49,013 KMs",Petrol,₹ 8.65 Lakh
196,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/XTOE0YU_dd715f94a42248fa9d340d69666dcb39_1_26767135.jpg?q=75,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,65,000","EMI starts at ₹14,364","57,983 KMs",Petrol,₹ 8.85 Lakh
197,https://imgd-ct.aeplcdn.com/640X480/cw/ucp/stockApiImg/APQNR63_ccffffb336f24ac288e500e08283d682_1_26070906.jpg?q=75,2014 Maruti Suzuki Ertiga Vxi CNG,"₹7,45,000","EMI starts at ₹12,371","68,921 KMs",CNG,₹ 7.65 Lakh
